date,vehicle,odometer_start,odometer_end,miles,purpose,entity,from,to,notes
2025-01-07,V2018Sedan,48069,48142,73.7,Client visit — Office,Acme,Conference center,Industry meetup,ProjectAlpha site visit
2025-01-07,V2018Sedan,48163,48165,2.9,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-01-10,V2018Sedan,48211,48220,9.6,Personal trip,Personal,Greenleaf Market,Groceries,
2025-01-21,V2018Sedan,48000,48060,60.2,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-01-21,V2018Sedan,48183,48204,21.9,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-01-21,V2018Sedan,48220,48225,5.1,Personal trip,Personal,Greenleaf Market,Groceries,
2025-01-22,V2018Sedan,48060,48069,9.3,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-01-23,V2018Sedan,48204,48211,7.9,Personal trip,Personal,Greenleaf Market,Groceries,
2025-01-25,V2018Sedan,48165,48183,18.0,Personal trip,Personal,Northshore Dental,Dentist,
2025-01-31,V2018Sedan,48142,48163,21.1,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-02-05,V2018Sedan,48353,48357,4.6,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-02-06,V2018Sedan,48327,48345,18.6,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-02-10,V2018Sedan,48270,48327,57.3,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-02-12,V2018Sedan,48382,48395,13.3,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-02-19,V2018Sedan,48365,48382,17.1,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-02-20,V2018Sedan,48357,48365,8.6,Personal trip,Personal,Greenleaf Market,Groceries,
2025-02-23,V2018Sedan,48256,48270,14.6,Client visit — Brightstar Co.,Acme,Office,Client site,ProjectAlpha site visit
2025-02-24,V2018Sedan,48345,48353,8.1,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-02-28,V2018Sedan,48225,48256,31.7,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-03-03,V2018Sedan,48448,48516,68.2,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-03-11,V2018Sedan,48542,48563,21.5,Personal trip,Personal,Northshore Dental,Dentist,
2025-03-23,V2018Sedan,48395,48448,53.9,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-03-26,V2018Sedan,48516,48537,21.0,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-03-27,V2018Sedan,48563,48576,13.3,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-03-27,V2018Sedan,48576,48586,10.1,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-03-31,V2018Sedan,48537,48542,5.7,Personal trip,Personal,Bayside Cinemas,Movies,
2025-04-10,V2018Sedan,48649,48703,54.7,Client visit — Northwind Holdings,Acme,Office,Quarterly review,ProjectAlpha site visit
2025-04-12,V2018Sedan,48703,48728,25.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-04-15,V2018Sedan,48749,48774,25.1,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-04-21,V2018Sedan,48586,48649,63.9,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-04-21,V2018Sedan,48742,48749,7.8,Personal trip,Personal,Northshore Dental,Dentist,
2025-04-28,V2018Sedan,48728,48742,14.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-05-02,V2018Sedan,48948,48956,8.6,Personal trip,Personal,Northshore Dental,Dentist,
2025-05-10,V2018Sedan,48964,48967,3.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-05-16,V2018Sedan,48868,48939,71.7,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-05-17,V2018Sedan,48774,48830,56.6,Client visit — Office,Acme,Co-working space,Working session,
2025-05-17,V2018Sedan,48854,48868,14.0,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-05-22,V2018Sedan,48830,48854,24.7,Client visit — Office,Acme,Co-working space,Working session,
2025-05-22,V2018Sedan,48956,48964,8.4,Personal trip,Personal,Greenleaf Market,Groceries,
2025-05-24,V2018Sedan,48939,48948,9.3,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
